Layer,Taxon.mod,BONE_LENGTH
I,Bos.Bison,72.39
I,Bos.Bison,72.47
I,Cervid,72.56
K,Cervid,72.64
I,Cervid,72.82
I,Bos.Bison,72.97
I,Cervid,73.26
K,Bos.Bison,73.6
I,Bos.Bison,73.64
K,Bos.Bison,73.8
I,Cervid,73.86
I,Ursid,73.96
I,Cervid,74.04
J,Cervid,74.04
I,Bos.Bison,74.23
I,Ursid,74.3
I,Bos.Bison,74.31
I,Bos.Bison,74.5
I,Cervid,74.52
I,Bos.Bison,74.73
I,Cervid,74.97
I,Cervid,75.05
I,Bos.Bison,75.05
I,Bos.Bison,75.08
I,Cervid,75.34
I,Bos.Bison,75.44
I,Ursid,75.83
K,Ursid,75.96
I,Ursid,77.03
I,Cervid,77.04
I,Bos.Bison,77.05
I,Bos.Bison,77.17
I,Cervid,77.18
I,Bos.Bison,77.21
I,Bos.Bison,77.22
I,Cervid,77.31
I,Bos.Bison,77.35
I,Bos.Bison,77.38
I,Bos.Bison,77.42
I,Cervid,77.46
I,Ursid,77.6
I,Bos.Bison,77.9
K,Bos.Bison,78.07
I,Cervid,78.19
I,Cervid,78.26
I,Ursid,79.09
I,Ursid,79.53
I,Bos.Bison,79.54
I,Bos.Bison,80.01
I,Ursid,80.04
I,Bos.Bison,80.05
I,Bos.Bison,80.1
I,Bos.Bison,80.13
I,Ursid,80.26
I,Cervid,80.29
I,Cervid,80.38
I,Bos.Bison,80.52
I,Ursid,80.65
I,Bos.Bison,81.24
I,Cervid,81.48
I,Cervid,81.81
J,Cervid,82.23
J,Bos.Bison,82.44
I,Bos.Bison,82.46
J,Bos.Bison,82.62
I,Bos.Bison,83.26
I,Ursid,83.42
I,Cervid,83.5
I,Cervid,83.51
I,Cervid,83.62
I,Cervid,83.74
K,Cervid,83.81
I,Cervid,83.87
I,Cervid,84.25
I,Bos.Bison,84.26
I,Cervid,84.38
J,Ursid,84.53
I,Bos.Bison,84.64
I,Bos.Bison,84.74
I,Cervid,85.02
I,Cervid,85.12
I,Bos.Bison,85.29
I,Bos.Bison,85.51
K,Ursid,85.83
I,Bos.Bison,85.98
I,Cervid,85.99
I,Ursid,86.09
I,Cervid,86.2
I,Bos.Bison,86.22
J,Cervid,86.67
K,Bos.Bison,86.72
I,Bos.Bison,87.1
I,Bos.Bison,87.66
I,Bos.Bison,88.71
I,Bos.Bison,88.74
I,Cervid,88.75
I,Bos.Bison,88.82
I,Bos.Bison,88.92
I,Cervid,89.02
I,Ursid,89.3
I,Bos.Bison,89.35
I,Ursid,89.39
K,Bos.Bison,89.48
J,Bos.Bison,89.68
K,Bos.Bison,89.69
I,Cervid,89.77
I,Bos.Bison,89.92
I,Ursid,91.07
I,Ursid,91.16
I,Cervid,91.54
I,Bos.Bison,91.66
I,Bos.Bison,91.74
I,Ursid,91.88
I,Cervid,92.36
I,Bos.Bison,92.55
I,Cervid,92.74
I,Ursid,93.27
I,Bos.Bison,93.33
I,Bos.Bison,93.7
I,Ursid,93.73
I,Bos.Bison,95.78
K,Cervid,95.85
I,Bos.Bison,95.87
I,Bos.Bison,96
I,Bos.Bison,96.18
I,Bos.Bison,96.36
I,Ursid,96.37
J,Bos.Bison,96.44
I,Ursid,96.53
I,Cervid,96.69
I,Bos.Bison,96.92
I,Cervid,97.61
I,Cervid,98.03
I,Bos.Bison,98.53
I,Ursid,98.75
K,Bos.Bison,98.79
I,Bos.Bison,99.2
I,Bos.Bison,99.27
I,Ursid,99.93
I,Bos.Bison,100.13
I,Ursid,100.23
I,Ursid,100.45
I,Ursid,100.7
I,Bos.Bison,100.75
J,Ursid,100.92
I,Bos.Bison,100.94
I,Bos.Bison,100.96
I,Cervid,101
I,Cervid,103.08
I,Ursid,103.68
I,Bos.Bison,104.43
I,Cervid,104.78
I,Bos.Bison,105.06
I,Cervid,105.17
I,Ursid,105.58
I,Cervid,105.69
I,Ursid,105.81
I,Ursid,107.17
I,Bos.Bison,107.21
I,Bos.Bison,107.22
J,Ursid,107.29
I,Cervid,107.58
K,Cervid,107.71
I,Bos.Bison,108.3
J,Cervid,108.4
I,Bos.Bison,108.75
I,Cervid,109.17
I,Ursid,109.61
I,Cervid,110.18
I,Bos.Bison,111.26
I,Cervid,111.65
I,Cervid,111.89
K,Bos.Bison,112.33
J,Ursid,112.53
J,Cervid,113.84
I,Cervid,113.86
I,Bos.Bison,113.91
I,Bos.Bison,114.14
I,Bos.Bison,114.77
K,Ursid,116.38
K,Bos.Bison,117.43
I,Ursid,118.25
J,Bos.Bison,118.26
I,Ursid,118.62
I,Cervid,118.97
I,Cervid,119.52
I,Cervid,119.8
I,Ursid,121.02
K,Ursid,123.29
I,Ursid,124.01
K,Cervid,124.92
I,Bos.Bison,125.16
I,Bos.Bison,125.58
I,Cervid,126.1
I,Ursid,126.75
I,Bos.Bison,127.86
J,Bos.Bison,128.54
I,Bos.Bison,129.08
I,Ursid,129.73
I,Ursid,130.84
I,Ursid,132.43
I,Cervid,133.43
I,Bos.Bison,133.69
I,Ursid,134.28
I,Bos.Bison,134.5
I,Bos.Bison,136.64
I,Ursid,136.82
J,Bos.Bison,137.7
I,Cervid,138.05
I,Bos.Bison,138.71
I,Bos.Bison,138.87
I,Bos.Bison,140.61
I,Ursid,142.8
I,Bos.Bison,143.67
K,Ursid,144.32
I,Bos.Bison,146.15
K,Cervid,146.17
I,Cervid,153.37
I,Cervid,153.66
I,Bos.Bison,153.7
K,Ursid,153.73
I,Cervid,153.73
K,Ursid,153.75
J,Ursid,208.57
I,Bos.Bison,208.84
K,Bos.Bison,217.08
J,Bos.Bison,271.61
I,Bos.Bison,290.6
I,Bos.Bison,66.29
I,Bos.Bison,153.73
I,Cervid,37.51
I,Ursid,84.42
I,Bos.Bison,67.89
I,Ursid,46.86
K,Ursid,105.15
I,Cervid,55.84
I,Cervid,56.96
I,Bos.Bison,67.63
I,Ursid,64.5
