lev.final,TAXON,ELEMENT_MAMMAL,scan_zone,n,scan_site,horse,wildebeest,reindeer,Bison,sheep
I,Cervus_elaphus,Tibia,zone1,1,TI1,0.3,0.42,0.35,0.41,0.16
I,Cervus_elaphus,Tibia,zone2,8,TI2,0.44,0.55,0.44,0.58,0.2
I,Cervus_elaphus,Tibia,zone3,12,TI3,0.82,0.77,0.71,0.76,0.59
I,Cervus_elaphus,Tibia,zone4,6,TI4,0.55,0.57,0.53,0.44,0.36
I,Cervus_elaphus,Tibia,zone5,1,TI5,0.43,0.48,0.39,0.41,0.28
I,Cervus_elaphus,Ulna,zone1,1,UL1,0.43,0.46,0.49,0.34,0.18
I,Cervus_elaphus,Ulna,zone2,1,UL2,0.65,0.73,0.68,0.69,0.26
I,Cervus_elaphus,Vert_Cervical,zone1,3,CE1,0.5,0.52,0.45,0.37,0.12
I,Cervus_elaphus,Vert_Cervical,zone2,0,CE2,0.41,0.47,0.43,0.62,0.13
I,Cervus_elaphus,Vert_Thoracic,zone1,2,TH1,0.32,0.38,0.38,0.42,0.24
I,Cervus_elaphus,Vert_Thoracic,zone2,0,TH2,0.49,0.47,0.53,0.38,0.19
I,Equid_sp.,Humerus,zone1,1,HU1,0.23,0.32,0.26,0.24,0.13
I,Equid_sp.,Humerus,zone2,1,HU2,0.25,0.42,0.31,0.25,0.22
I,Equid_sp.,Humerus,zone3,0,HU3,0.64,0.7,0.61,0.45,0.42
I,Equid_sp.,Humerus,zone4,0,HU4,0.55,0.61,0.62,0.48,0.37
I,Equid_sp.,Humerus,zone5,0,HU5,0.36,0.51,0.48,0.37,0.34
I,Equid_sp.,Tibia,zone1,2,TI1,0.3,0.42,0.35,0.41,0.16
I,Equid_sp.,Tibia,zone2,3,TI2,0.44,0.55,0.44,0.58,0.2
I,Equid_sp.,Tibia,zone3,4,TI3,0.82,0.77,0.71,0.76,0.59
I,Equid_sp.,Tibia,zone4,2,TI4,0.55,0.57,0.53,0.44,0.36
I,Equid_sp.,Tibia,zone5,0,TI5,0.43,0.48,0.39,0.41,0.28
I,Equus_ferus,Atlas,zone1,1,AT1,0.51,0.55,0.47,0.52,0.07
I,Equus_ferus,Atlas,zone2,0,AT2,0.47,0.57,0.42,0.91,0.11
I,Equus_ferus,Vert_Lumbar,zone1,1,LU1,0.48,0.58,0.49,0.31,0.26
I,Equus_ferus,Vert_Lumbar,zone2,1,LU2,0.42,0.52,0.45,0.11,0.22
I/J,Cervus_elaphus,Metatarsal,zone1,1,MR1,0.59,0.63,0.58,0.52,0.43
I/J,Cervus_elaphus,Metatarsal,zone2,0,MR2,0.75,0.71,0.57,0.59,0.53
I/J,Cervus_elaphus,Metatarsal,zone3,0,MR3,0.91,0.84,0.65,0.67,0.68
I/J,Cervus_elaphus,Metatarsal,zone4,0,MR4,0.71,0.65,0.54,0.51,0.51
I/J,Cervus_elaphus,Metatarsal,zone5,0,MR5,0.58,0.54,0.41,0.4,0.31
I/J,Cervus_elaphus,Metatarsal,zone6,0,MR6,0.6,0.65,0.59,0.48,0.39
J/K,Capra_ibex,Metatarsal,zone1,1,MR1,0.59,0.63,0.58,0.52,0.43
J/K,Capra_ibex,Metatarsal,zone2,1,MR2,0.75,0.71,0.57,0.59,0.53
J/K,Capra_ibex,Metatarsal,zone3,0,MR3,0.91,0.84,0.65,0.67,0.68
J/K,Capra_ibex,Metatarsal,zone4,0,MR4,0.71,0.65,0.54,0.51,0.51
J/K,Capra_ibex,Metatarsal,zone5,0,MR5,0.58,0.54,0.41,0.4,0.31
