lev.final,TAXON,ELEMENT_MAMMAL,scan_zone,n,scan_site,horse,wildebeest,reindeer,Bison,sheep
I,Bison_priscus,Scapula,zone1,0,SP1,0.64,0.68,0.66,0.5,0.25
I,Bison_priscus,Scapula,zone2,0,SP2,0.67,0.71,0.73,0.48,0.33
I,Bison_priscus,Scapula,zone3,0,SP3,0.55,0.74,0.73,0.28,0.19
I,Bison_priscus,Scapula,zone4,1,SP4,0.66,0.65,0.69,0.43,0.32
I,Capreolus_capreolus,Tibia,zone1,0,TI1,0.3,0.42,0.35,0.41,0.16
I,Capreolus_capreolus,Tibia,zone2,0,TI2,0.44,0.55,0.44,0.58,0.2
I,Capreolus_capreolus,Tibia,zone3,0,TI3,0.82,0.77,0.71,0.76,0.59
I,Capreolus_capreolus,Tibia,zone4,1,TI4,0.55,0.57,0.53,0.44,0.36
I,Capreolus_capreolus,Tibia,zone5,0,TI5,0.43,0.48,0.39,0.41,0.28
I,Equid_sp.,Radius,zone1,0,RA1,0.37,0.51,0.53,0.48,0.35
I,Equid_sp.,Radius,zone2,0,RA2,0.51,0.62,0.57,0.56,0.36
I,Equid_sp.,Radius,zone3,0,RA3,0.84,0.8,0.73,0.62,0.52
I,Equid_sp.,Radius,zone4,2,RA4,0.43,0.49,0.38,0.42,0.19
I,Equid_sp.,Radius,zone5,1,RA5,0.42,0.47,0.49,0.35,0.21
