lev.final,TAXON,ELEMENT_MAMMAL,NISP,MNE,MNI,MAU,MAU_percent
I,Vulpes_vulpes,Radius,1,1,1,0.5,100
I/J,Bos_Bison_sp.,Cranium,2,1,1,1,100
I/J,Bos_Bison_sp.,Femur,1,1,1,0.5,50
I/J,Bos_Bison_sp.,Humerus,2,2,1,1,100
I/J,Bos_Bison_sp.,Radius,1,1,1,0.5,50
I/J,Bos_Bison_sp.,Rib,1,1,1,0.0384615384615385,3.84615384615385
I/J,Bos_Bison_sp.,Scapula,1,1,1,0.5,50
I/J,Bos_Bison_sp.,Ulna,1,1,1,0.5,50
I/J,Bos_primigenius,Femur,1,1,1,0.5,100
I/J,Bos_primigenius,Trapezoid,1,1,1,0.5,100
I/J,Bos_primigenius,Vert_Cervical,1,1,1,0.142857142857143,28.571428571428598
I/J,Canis_lupus,Astragalus,1,1,1,0.5,100
I/J,Canis_lupus,Ilium,1,1,1,0.5,100
I/J,Canis_sp.,Femur,1,1,1,0.5,100
I/J,Capra_sp.,Cranium,1,1,1,1,100
I/J,Capra_sp.,Radio-ulna,1,1,1,0.5,50
I/J,Capreolus_capreolus,Rib,1,1,1,0.0384615384615385,100
I/J,Cervid_sp.,Femur,1,1,1,0.5,33.33333333333333
I/J,Cervid_sp.,Humerus,2,3,1,1.5,100
I/J,Cervid_sp.,Phalanx_3,1,1,1,0.125,8.333333333333332
I/J,Cervid_sp.,Rib,2,2,1,0.0769230769230769,5.128205128205127
I/J,Cervid_sp.,Sesamoid,1,1,1,NA,NA
I/J,Cervid_sp.,Tibia,1,1,1,0.5,33.33333333333333
I/J,Cervid_sp.,Ulna,1,1,1,0.5,33.33333333333333
I/J,Cervus_elaphus,Calcaneum,1,1,1,0.5,50
I/J,Cervus_elaphus,Femur,1,1,1,0.5,50
I/J,Cervus_elaphus,Humerus,2,2,1,1,100
I/J,Cervus_elaphus,Metatarsal,1,1,1,0.5,50
I/J,Cervus_elaphus,Scapula,1,1,1,0.5,50
I/J,Cervus_elaphus,Tibia,1,1,1,0.5,50
I/J,Rupicapra_rupicapra,Femur,2,1,1,0.5,100
I/J,Ursus_sp.,Phalanx_3,1,6,1,0.3,100
I/J,Ursus_spelaeus,Humerus,1,1,1,0.5,33.33333333333333
I/J,Ursus_spelaeus,Phalanx_1/1,1,2,1,0.1,6.666666666666667
I/J,Ursus_spelaeus,Phalanx_2,1,4,1,0.2,13.333333333333334
I/J,Ursus_spelaeus,Phalanx_2/2,1,1,1,0.05,3.3333333333333335
I/J,Ursus_spelaeus,Scapula,2,2,2,1,66.66666666666666
I/J,Ursus_spelaeus,Tibia,1,1,1,0.5,33.33333333333333
I/J,Ursus_spelaeus,Ulna,1,1,1,0.5,33.33333333333333
J,Bos_Bison_sp.,Femur,1,1,1,0.5,50
J,Bos_Bison_sp.,Humerus,1,1,1,0.5,50
J,Bos_Bison_sp.,Metatarsal,1,1,1,0.5,50
J,Bos_Bison_sp.,Rib,4,2,2,0.0769230769230769,7.69230769230769
J,Bos_Bison_sp.,Tibia,3,2,1,1,100
J,Bos_primigenius,Metatarsal,1,1,1,0.5,100
J,Bos_primigenius,Sesamoid,1,1,1,NA,NA
J,Canis_lupus,Phalanx_3/1,1,1,1,0.0555555555555556,50.000000000000085
J,Canis_lupus,Phalanx_4/1,1,2,1,0.111111111111111,100
J,Capreolus_capreolus,Tibia,1,1,1,0.5,100
J,Cervid_sp.,Antler,1,1,1,0.5,50
J,Cervid_sp.,Axis,1,1,1,1,100
J,Cervid_sp.,Humerus,1,1,1,0.5,50
J,Cervid_sp.,Radius,1,1,1,0.5,50
J,Cervid_sp.,Rib,1,1,1,0.0384615384615385,3.84615384615385
J,Cervid_sp.,Scapula,1,1,1,0.5,50
J,Cervid_sp.,Tibia,1,1,1,0.5,50
J,Cervus_elaphus,Tibia,2,1,1,0.5,100
J,Crocuta_spelaea,Cranium,1,1,1,1,100
J,Cuon_alpinus,Calcaneum,1,1,1,0.5,100
J,Rangifer_tarandus,Phalanx_1,1,1,1,0.125,100
J,Ursus_sp.,Carpal_Tarsal_Indet,1,1,1,NA,NA
J,Ursus_sp.,Femur,1,1,1,0.5,50
J,Ursus_sp.,Humerus,3,2,1,1,100
J,Ursus_sp.,Vert_Thoracic,1,1,1,0.0769230769230769,7.69230769230769
J,Ursus_spelaeus,Cranium,1,1,1,1,14.285714285714285
J,Ursus_spelaeus,Femur,1,1,1,0.5,7.142857142857142
J,Ursus_spelaeus,Metacarpal_V,1,1,1,0.5,7.142857142857142
J,Ursus_spelaeus,Phalanx_2/3,1,2,1,0.1,1.4285714285714286
J,Ursus_spelaeus,Phalanx_3/1,1,1,1,0.05,0.7142857142857143
J,Ursus_spelaeus,Radius,1,1,1,0.5,7.142857142857142
J/K,Bos_Bison_sp.,Humerus,1,1,1,0.5,100
J/K,Capra_ibex,Metatarsal,1,1,1,0.5,100
J/K,Cervid_sp.,Metacarpal,2,2,2,1,100
J/K,Cervus_elaphus,Sesamoid,1,1,1,NA,NA
J/K,Equid_sp.,Tibia,1,1,1,0.5,100
J/K,Ursus_sp.,Cranium,1,1,1,1,100
K,Bos_Bison_sp.,Femur,4,2,1,1,66.66666666666666
K,Bos_Bison_sp.,Humerus,2,2,1,1,66.66666666666666
K,Bos_Bison_sp.,Metacarpal,1,1,1,0.5,33.33333333333333
K,Bos_Bison_sp.,Metatarsal,2,2,1,1,66.66666666666666
K,Bos_Bison_sp.,Radius,1,1,1,0.5,33.33333333333333
K,Bos_Bison_sp.,Rib,1,1,1,0.0384615384615385,2.5641025641025665
K,Bos_Bison_sp.,Tibia,5,3,1,1.5,100
K,Bos_Bison_sp.,Ulna,1,1,1,0.5,33.33333333333333
K,Bos_primigenius,Tibia,1,1,1,0.5,100
K,Capra_ibex,Phalanx_2,1,1,1,0.125,8.333333333333332
K,Capra_sp.,Metapodial,1,1,1,NA,NA
K,Capra_sp.,Phalanx_2,1,1,1,0.125,25
K,Capra_sp.,Vert_Cervical,1,1,1,0.142857142857143,28.571428571428598
K,Cervid_sp.,Antler,1,1,1,0.5,14.285714285714285
K,Cervid_sp.,Femur,3,2,1,1,28.57142857142857
K,Cervid_sp.,Metacarpal,1,1,1,0.5,14.285714285714285
K,Cervid_sp.,Metatarsal,3,1,1,0.5,14.285714285714285
K,Cervid_sp.,Radius,1,1,1,0.5,14.285714285714285
